County Name ,State,Median Age ,PerCapita Income,Percent in Poverty,Population Density,Crime Index (Per capita)
Ashtabula,OH,34.4,15158,16.8,143.4,327
Athens,OH,25.4,12355,23.4,117.6,168
Auglaize,OH,32.8,17917,7.1,114.4,226
Belmont,OH,37.9,15345,17.4,131.8,61
Butler,OH,31.5,18308,9.9,651.2,433
Carroll,OH,34.3,14315,13.5,68.9,31
Champaign,OH,34.3,17395,10.3,85.6,241
Clark,OH,34.3,17820,14.4,369.5,621
Clermont,OH,31.2,17084,9.4,349,343
Clinton,OH,32.7,16549,11.8,89.3,286
Columbiana,OH,35,14878,16.3,207.1,88
Coshocton,OH,34.7,14790,14.3,63.3,208
Crawford,OH,34.5,15581,13.3,118.3,180
Cuyahoga,OH,34.9,22745,18.1,3078.1,484
Darke,OH,33.9,16518,9.7,89.7,193
Defiance,OH,32.6,17588,9,96.1,318
Delaware,OH,33.4,23025,6.5,160.9,250
Erie,OH,34.9,19057,11.5,304.1,483
Fayette,OH,34.8,14835,15.1,68.6,150
Franklin,OH,30.8,20785,13.4,1833,753
Fulton,OH,32.5,17660,7.4,97.6,269
Gallia,OH,33.5,13961,21.2,68.9,134
Geauga,OH,34.5,22403,6,205.9,102
Greene,OH,32.4,18890,9.3,336.2,374
Guernsey,OH,34.7,13959,18.8,75.5,224
Hamilton,OH,32.8,22932,14.5,2138.4,616
Hardin,OH,31.6,13906,14.7,66.3,99
Harrison,OH,36.8,13604,18.7,39.6,164
Henry,OH,33,17539,7.9,70.8,113
Highland,OH,34.2,13609,15.7,67.2,165
Hocking,OH,34.3,13761,15.6,62.9,251
Huron,OH,32.1,16814,11.4,116.6,199
Jefferson,OH,37.6,15942,17.1,193.8,209
Lake,OH,34.3,20387,7.3,962.8,244
Lawrence,OH,34.2,13913,21.4,138.1,48
Licking,OH,33.5,17589,11.6,192,227
Logan,OH,33.7,17387,12.1,95.5,211
Lorain,OH,32.8,17467,11.7,560.7,299
Lucas,OH,32.5,19417,16.7,1352.8,770
Madison,OH,32.3,15040,10.6,83.6,60
Mahoning,OH,36.3,17436,17.4,638.6,371
Marion,OH,33.6,15988,14.5,159.4,353
Medina,OH,33.3,19344,5.8,304.1,39
Miami,OH,34.3,18555,9.3,233.2,293
Monroe,OH,36.5,14137,18.3,33.6,82
Montgomery,OH,33.3,20030,13.9,1248.6,602
Morgan,OH,34.1,14512,19.5,34.2,83
Morrow,OH,33,13227,12.8,70.3,60
Muskingum,OH,33.5,16065,16,124.1,319
Ottawa,OH,36.4,19065,8.8,157.2,127
Perry,OH,32.4,12425,18.4,78.8,69
Pickaway,OH,33,14633,13,100,151
Pike,OH,32.9,13223,24.2,57.3,75
Portage,OH,30,16339,10.6,296.7,275
Preble,OH,33.7,15550,10.1,96.3,198
Richland,OH,34.3,16300,13,256.3,623
Ross,OH,33.8,14640,17.9,103.7,217
Sandusky,OH,33.2,17028,11,153,223
Scioto,OH,34.2,13540,24,132.3,357
Seneca,OH,32.5,16547,12.1,108.8,103
Shelby,OH,31.6,17769,8.8,112.1,63
Stark,OH,35,17984,12.7,644.7,451
Summit,OH,34.3,19866,14.3,1265,480
Trumbull,OH,35.6,18406,13.3,372.5,154
Tuscarawas,OH,35,15651,13.2,150.5,199
Union,OH,32.9,18872,8.2,76.9,185
Vinton,OH,33.6,12324,21.7,27.5,187
Warren,OH,32.7,18920,7.3,298.6,322
Washington,OH,34.6,15917,14.4,98.7,233
Wayne,OH,32.2,16971,11.2,186.9,213
Williams,OH,33.2,17665,8.5,88.4,160
Wood,OH,29.3,18563,9.5,184.8,336
Wyandot,OH,34.1,15820,8.5,55,151
Adair,OK,31.6,13141,25,33.2,140
Alfalfa,OK,40,16159,14.8,7.3,175
Atoka,OK,34.8,10205,28.3,13.4,142
Beaver,OK,36.6,18036,9.2,3.3,203
Beckham,OK,34.5,14197,22.6,20.6,499
Blaine,OK,35.8,14565,20.4,12.1,339
Bryan,OK,34.6,12634,24.4,35.8,474
Caddo,OK,34.3,13605,26.6,23,235
Canadian,OK,32,16627,9.7,85.8,445
Carter,OK,35.3,15825,20.8,52.3,663
Cherokee,OK,31.9,13767,26.4,47.3,349
Choctaw,OK,35.9,12831,33.3,19.9,274
Cimarron,OK,37.2,22060,15.9,1.7,147
Cleveland,OK,29.7,16143,12.5,337.4,668
Coal,OK,36.4,10350,25.9,11.2,183
Comanche,OK,28.2,14336,17.3,112.5,500
Cotton,OK,37.1,15421,18.3,10.4,173
Craig,OK,37.9,13921,18,18.5,301
Creek,OK,34.2,14414,16.5,65.2,355
Custer,OK,29.7,14531,18.4,27,358
Delaware,OK,39.9,13919,21.7,39.6,226
Dewey,OK,38.2,15858,16.1,5.4,156
Ellis,OK,39.9,16860,14.7,3.6,102
Garfield,OK,34.2,17313,16.2,53.4,660
Garvin,OK,37,14247,20.6,32.9,293
Grady,OK,33.4,13639,19.3,38.1,436
Grant,OK,39.5,18994,12.8,5.5,116
Harmon,OK,37.7,15279,33.9,6.7,175
Harper,OK,39.2,20769,10.7,3.8,156
Haskell,OK,38,11755,25.5,19.1,164
Hughes,OK,40.5,12361,26.4,15.9,231
Jackson,OK,29.7,13679,19.5,35.7,511
Jefferson,OK,38.7,14284,23.5,9.2,200
Johnston,OK,35.3,10917,26.7,15.7,179
Kay,OK,35.6,18563,15,53,467
Kingfisher,OK,34.1,16336,12.1,14.4,239
Kiowa,OK,37.8,14718,26.2,10.9,482
Latimer,OK,33.8,12034,24.9,14.5,240
Lincoln,OK,34.8,13389,17.6,30.7,177
Logan,OK,32.6,15221,18.7,39.6,319
Love,OK,36.1,13565,17.2,16.3,283
McClain,OK,34.3,15063,13.8,41.1,303
McCurtain,OK,33,12861,31.4,18.1,413
McIntosh,OK,42.3,12384,24.9,27.6,287
Major,OK,37.3,15419,13.3,8.2,283
Marshall,OK,41,13320,20.5,30.2,308
Mayes,OK,35.6,13565,20.2,52.3,211
Murray,OK,38.2,12737,21.3,28.9,282
Muskogee,OK,34.3,13730,22.7,84.5,625
Noble,OK,35.1,15276,15.9,15.2,160
Nowata,OK,38.4,13480,19.6,17.3,366
Okfuskee,OK,36.1,11634,29.4,18.1,246
Oklahoma,OK,32.5,19131,17.5,861.8,938
Okmulgee,OK,35.5,13311,25.1,52.8,485
Osage,OK,34.9,13265,17.7,18.7,281
Ottawa,OK,37,14563,21.5,64.7,346
Pawnee,OK,36.2,13687,17.1,27.4,266
Payne,OK,26.9,14640,17.8,91.1,427
Pittsburg,OK,37.5,13334,20.7,32.1,313
Pontotoc,OK,34.2,13844,21.8,47.1,389
Pottawatomie,OK,33.4,14211,20.5,75.4,468
Pushmataha,OK,38.6,10975,30.2,7.9,326
Rogers,OK,33.9,15936,11.4,85.8,267
Seminole,OK,36.3,13157,27.3,39.1,380
Sequoyah,OK,33.4,12828,23.6,51.3,157
Stephens,OK,37,14609,17.8,49.1,343
Texas,OK,32.8,18877,12.4,8,231
Tillman,OK,36,13893,25.6,11.6,436
Tulsa,OK,32.7,20716,17,909.7,709
Wagoner,OK,32.9,14277,14.2,87.7,230
Washington,OK,36.7,21320,12.4,115.9,411
Washita,OK,36.8,13746,20.8,11.5,130
Woods,OK,37.5,17485,16.8,7,182
Woodward,OK,33.3,14130,15.4,15.2,295
Baker,OR,37.9,15167,15.6,5.1,454
Benton,OR,29.3,17954,11.1,106.6,446
Clackamas,OR,35.1,21349,7.7,158.9,472
Clatsop,OR,35.9,17908,13.9,41.3,469
Columbia,OR,34.8,17103,8.8,59.8,267
Coos,OR,37.6,15980,17,38.7,465
Crook,OR,35.8,15994,10.9,5.1,322
Curry,OR,44,16933,13.9,12.2,405
Deschutes,OR,35.9,18792,10.6,27.8,526
Douglas,OR,36,15567,15.6,19.1,382
Grant,OR,36.4,16209,12.3,1.7,291
Harney,OR,35.7,15956,12.8,0.7,213
Jackson,OR,36.7,17347,14.4,55.4,512
Jefferson,OR,31.4,15205,17.4,8.1,361
Josephine,OR,39.9,15101,19.1,40,518
Klamath,OR,34.9,15491,17.1,9.9,292
Lake,OR,36.3,16176,13.1,0.9,179
Lane,OR,33.9,17285,15,63.9,536
Lincoln,OR,39.6,16573,14.7,41.7,575
Linn,OR,34.8,15776,14.3,41.3,587
Malheur,OR,33.7,14734,21.5,2.7,416
Marion,OR,33.7,16963,14.9,202.4,654
Morrow,OR,33.6,14914,7.3,4,352
Multnomah,OR,34.2,21737,15,1382.5,998
Polk,OR,34.2,15702,12.1,71.4,491
Tillamook,OR,40.4,15125,12.8,20.2,347
Umatilla,OR,33.2,15331,17.1,19,377
Union,OR,34,15997,14,11.8,317
Wallowa,OR,37.8,17339,11.9,2.3,271
Wasco,OR,36.9,16901,13.4,9.4,554
Washington,OR,32.7,21336,8.1,468.1,402
Yamhill,OR,32.8,16685,12.6,96.8,403
Adams,PA,33.5,17959,7.4,156.3,170
Allegheny,PA,36.7,23541,12.8,1826.5,408
Armstrong,PA,36.6,15964,14,113.1,113
Beaver,PA,37,16872,13.7,432.1,195
Bedford,PA,35.7,14071,14.5,47.8,150
Berks,PA,35.4,20786,11.2,399.2,353
Blair,PA,36.2,16405,15.1,249.9,213
Bradford,PA,34.6,15632,14.3,53.6,203
Bucks,PA,33.7,23983,5.4,912.3,261
Butler,PA,34,18661,9.3,198.7,196
Cambria,PA,37.4,16281,14.6,235.7,176
Cameron,PA,37.3,17464,11.9,14.6,309
Carbon,PA,37.5,16430,10.9,151.9,218
Centre,PA,27,16698,11.8,115,302
Chester,PA,33.8,29020,6.4,512.3,251
Clarion,PA,32.2,15021,16.6,69.7,193
Clearfield,PA,35.6,15681,15.5,68.3,188
Clinton,PA,34.8,15055,14.7,42,243
Columbia,PA,34.1,16155,11.2,131.2,191
Crawford,PA,34.6,15752,16.1,85.7,249
Cumberland,PA,34.6,21803,6,365.3,234
Dauphin,PA,35,21533,11.6,460.3,513
Delaware,PA,34.6,24516,9.5,2978.3,361
Elk,PA,35.4,18302,8.4,42.4,231
Erie,PA,32.9,17971,13.9,347.9,335
Fayette,PA,36.9,15181,22.4,184.9,213
Forest,PA,40.7,13293,14.6,11.2,304
Franklin,PA,35,17856,8.8,160.9,239
Fulton,PA,34.1,13615,11.8,32.4,195
Greene,PA,35.2,14319,20.7,68.9,246
Huntingdon,PA,34.3,13560,14.3,50.6,192
Indiana,PA,31.8,15359,16.9,109.1,173
Jefferson,PA,35.8,16097,14.3,70.6,164
Juniata,PA,34.6,15359,9.8,53.6,90
Lackawanna,PA,37.7,18712,12.7,474.9,223
Lancaster,PA,32.8,20064,9.6,457.4,311
Lawrence,PA,37.3,16072,16.3,268,236
Lebanon,PA,35.2,18394,8.3,319.8,254
Lehigh,PA,35.7,21629,9.2,854.1,393
Luzerne,PA,38.2,18389,12.6,369.8,168
Lycoming,PA,34.8,17115,13.7,97.6,318
McKean,PA,35.9,15721,15.8,49.5,151
Mercer,PA,36.4,16522,14.8,181.7,243
Mifflin,PA,35.7,14560,13.9,113.5,161
Monroe,PA,34,17313,9.3,172.1,367
Montgomery,PA,35.8,31809,5.3,1427.9,303
Montour,PA,35.2,22924,9.3,137.6,102
Northampton,PA,34.9,19834,8.4,673.4,271
Northumberland,PA,37.8,16554,12.6,209,146
Perry,PA,33.4,16134,8.5,76.2,170
Philadelphia,PA,33.2,19108,26.5,11484.1,641
Pike,PA,35.9,16779,8.3,59.4,284
Potter,PA,35.7,15381,16.1,15.6,204
Schuylkill,PA,38.5,16883,10.7,198,138
Snyder,PA,32.6,19097,10.9,112.6,111
Somerset,PA,36.3,16102,15.1,73.2,133
Sullivan,PA,38.2,16078,11.4,13.6,372
Susquehanna,PA,34.9,15997,13.9,49.9,103
Tioga,PA,34.2,14988,15.3,36.8,130
Union,PA,32.5,18115,11.6,115.2,106
Venango,PA,35.8,18712,15.8,87.8,275
Warren,PA,36.3,18750,11.4,50.9,231
Washington,PA,37.5,18840,13.4,240.6,230
Wayne,PA,36.3,16558,12.6,57.3,188
Westmoreland,PA,37.7,18947,11.6,365.5,190
Wyoming,PA,33.1,16423,12,72.5,138
York,PA,34.5,20041,8.2,386.4,327
Bristol,RI,35.8,23664,6.7,1987.9,213
Kent,RI,35.8,20820,7.4,954.1,386
Newport,RI,33.7,20760,8.4,837.7,461
Providence,RI,33.6,19590,15.8,1429.7,544
Washington,RI,32.7,20854,7.8,339.4,285
Abbeville,SC,34.2,13179,15.9,47.4,298
Aiken,SC,32.7,18465,13.8,119.8,501
Allendale,SC,30,10710,34.3,28.9,240
Anderson,SC,34.8,15864,12.9,206.3,522
Bamberg,SC,29.6,11927,27.9,43,376
Barnwell,SC,31.6,14843,21.9,38.5,286
Beaufort,SC,30.1,20091,14.7,155.9,722
Berkeley,SC,28.2,13242,13.2,123.3,410
Charleston,SC,30.1,17903,19.3,330.9,796
Cherokee,SC,33.6,13696,14.4,116.1,297
Chester,SC,33.1,12995,19.1,56.3,468
Chesterfield,SC,33.3,14054,19.2,48.7,389
Clarendon,SC,32.7,11751,29.8,47.3,220
Colleton,SC,32.8,13016,24.1,33.7,612
Darlington,SC,33,14950,21.8,113.1,662
Dillon,SC,30.9,12137,28.4,72.4,635
Dorchester,SC,29.7,15186,12.8,152.4,423
Edgefield,SC,32.6,14162,17.4,37.1,307
Fairfield,SC,32.4,13222,22.2,32.8,612
Florence,SC,32.2,16102,21.4,148,624
Georgetown,SC,32.7,15625,20.9,59.8,615
Greenville,SC,33.4,18720,11.3,412.7,613
Greenwood,SC,33.7,15988,15.3,132.8,582
Hampton,SC,31.1,12698,24.4,33,176
Horry,SC,33.8,16031,17.8,133.7,827
Jasper,SC,30.7,12898,24.3,24,594
Kershaw,SC,34,15706,13.4,61.7,416
Lancaster,SC,33.4,14816,15.8,100.5,557
Laurens,SC,34,15895,16,82.7,412
Lexington,SC,32.6,18242,9.8,253,575
Marion,SC,32,12722,26.3,70.5,477
Marlboro,SC,31.8,11561,24.1,62.5,668
Newberry,SC,34.2,14141,16.7,53.3,377
Oconee,SC,35.5,16369,12.1,94.1,308
Orangeburg,SC,31.1,13746,25.6,78.5,706
Pickens,SC,30.4,14528,12.1,198.8,350
Richland,SC,30.4,18576,17.6,388.5,763
Saluda,SC,34.6,14242,17.7,36.6,168
Spartanburg,SC,34,16656,14.4,287.1,732
Sumter,SC,29.6,13284,21.9,155.8,740
Union,SC,35.3,13225,15.6,59.3,260
Williamsburg,SC,30.6,11946,28,39.6,322
York,SC,32.2,17867,12.4,200.4,641
Aurora,SD,38.6,15709,12.9,4.2,110
Beadle,SD,35.5,17581,12.5,14.3,183
Bennett,SD,29.2,12930,33.4,2.6,142
Brookings,SD,26.3,15311,12.9,32.5,235
Brown,SD,33,18852,11.8,20.8,336
Brule,SD,32.6,15661,17.4,6.8,189
Butte,SD,34.4,13680,15.4,3.7,197
Clay,SD,24,15066,20.5,32.1,468
Codington,SD,32.9,17526,10.9,33.9,300
Custer,SD,36.7,16674,12.4,4,479
Davison,SD,33.6,18410,13.7,40.4,488
Day,SD,38.7,15905,18.5,6.6,55
Deuel,SD,38.9,14191,13.6,7.2,153
Douglas,SD,36.8,15429,13.9,8.5,51
Edmunds,SD,40.1,18892,11.9,3.8,58
Faulk,SD,39.5,20175,11.1,2.7,48
Gregory,SD,38.1,16836,19.2,5.2,44
Haakon,SD,31.9,19775,11.1,1.4,135
Hand,SD,38.1,18741,12.9,3,88
Hughes,SD,33.3,18422,10.7,20.5,588
Hutchinson,SD,41.7,17190,12.8,10,17
Hyde,SD,39.4,17091,14.5,2,47
Jackson,SD,30,11308,31,1.5,154
Jerauld,SD,40.4,20980,13.5,4.5,25
Lake,SD,33.8,17062,12,19,255
Lawrence,SD,32.4,16237,11.2,26.7,371
Lincoln,SD,33.2,19139,6.9,27.5,106
McCook,SD,38.3,15898,11.9,9.7,93
McPherson,SD,47,18358,13.2,2.7,10
Marshall,SD,38.9,21118,14.2,5.7,152
Meade,SD,29.8,14953,10.5,6.7,244
Miner,SD,38.9,18229,17,5.4,204
Minnehaha,SD,31.4,20634,9.2,160.7,391
Moody,SD,34.1,17605,12.3,12.9,237
Pennington,SD,30.1,17754,14.8,30.5,560
Perkins,SD,38.6,20145,12.5,1.3,79
Potter,SD,38.9,20511,12,3.6,61
Sanborn,SD,36,17890,14.3,4.9,29
Spink,SD,36.2,21184,14.8,5.3,97
Tripp,SD,34.5,15843,19.9,4.3,387
Turner,SD,39,19850,12.1,13.9,53
Union,SD,35,19703,11.3,22.6,281
Walworth,SD,39.7,18281,17.3,8.2,221
Yankton,SD,33.5,17911,12.6,38.2,310
Anderson,TN,36.5,18348,15.7,208.6,247
Bedford,TN,34.9,15529,16,67.1,210
Blount,TN,36.1,16663,13.7,162,124
Bradley,TN,33.2,16804,15.6,230.2,314
Campbell,TN,35,11808,28,74.2,85
Cannon,TN,35.4,14321,15.4,40.6,50
Carroll,TN,37.3,14723,16.9,46.4,118
Carter,TN,36.2,12828,19.9,152.4,102
Cheatham,TN,32.1,14741,11.9,94.8,32
Chester,TN,32.8,11684,19.8,45.1,61
Claiborne,TN,34,12582,24.7,62.2,54
Cocke,TN,35.2,13266,25.2,67.7,194
Coffee,TN,35,17455,16.1,97,220
Crockett,TN,36.3,15881,19,50.5,200
Cumberland,TN,37.5,13175,18.6,53.8,107
Davidson,TN,32.6,22519,18,1029.5,990
Dickson,TN,33,15314,15.9,74.5,122
Dyer,TN,34.4,16466,18.5,68.2,462
Fayette,TN,32.3,14320,25.1,37,61
Fentress,TN,34.6,12220,29.3,29.9,115
Franklin,TN,35.1,14561,16.1,63.8,138
Gibson,TN,37.1,15719,17.4,77.3,333
Giles,TN,35.6,16013,15.9,43.7,303
Grainger,TN,34.7,11969,20.7,63.1,238
Greene,TN,36.4,13842,19.5,91.7,234
Hamblen,TN,35.1,15960,16.3,319.3,342
Hamilton,TN,34.7,20082,17.7,531.4,674
Hardeman,TN,32.9,13102,24.1,35.7,245
Hardin,TN,36.3,12852,23.4,40.7,90
Hawkins,TN,35.4,14624,18.4,94.3,114
Haywood,TN,32.8,14871,27.6,36.6,349
Henderson,TN,35.6,13429,16.1,42.5,172
Henry,TN,39.2,15205,18.6,50.6,137
Hickman,TN,35,12670,18.1,28.7,59
Houston,TN,37.7,11824,18.2,36,56
Humphreys,TN,36.4,13853,15.4,29.9,130
Jefferson,TN,35.4,14072,16.8,126.7,187
Knox,TN,33.7,19585,15.5,682.8,621
Lake,TN,34.1,11964,33.2,44.7,14
Lauderdale,TN,32.8,13389,23.9,50.4,25
Lawrence,TN,34.2,15112,15.7,59,257
Lewis,TN,34.6,12532,20.7,34.7,114
Lincoln,TN,35.5,14868,15.9,50,295
Loudon,TN,36.4,15926,14.2,145.2,7
McMinn,TN,35.3,14392,17.5,101.1,207
McNairy,TN,37.2,13998,20,40.3,115
Macon,TN,34.5,13641,19,53.1,45
Madison,TN,33,17255,18.5,144.1,869
Maury,TN,34,16424,14.1,97.4,394
Meigs,TN,35,12460,17.9,43.1,200
Monroe,TN,34.6,12530,21.4,49.3,167
Montgomery,TN,28.5,14736,14.5,204.6,536
Morgan,TN,33.2,11366,22.9,33.7,1
Obion,TN,36.1,16808,17,58.2,312
Overton,TN,36.6,11829,19.8,41.1,60
Perry,TN,37.8,12712,17.4,16.4,37
Polk,TN,36.3,13452,17.9,31.7,4
Putnam,TN,32.3,16243,16.9,132.4,208
Rhea,TN,34.6,13146,19.7,80.1,100
Roane,TN,37.4,16019,17,132.7,191
Robertson,TN,33.1,15528,12.8,91.7,328
Rutherford,TN,29.8,18132,11.6,207.9,475
Scott,TN,31.8,11775,30.5,35.3,45
Sevier,TN,35.4,15903,16.1,92.2,159
Shelby,TN,31.3,20491,22.3,1116.8,778
Smith,TN,35.2,14758,15.5,46.1,37
Stewart,TN,38.7,12375,15.4,22.1,69
Sullivan,TN,36.9,17699,16.1,354.7,389
Sumner,TN,33.2,17634,11,203.6,310
Trousdale,TN,36.3,12391,16.8,52.5,170
Unicoi,TN,37.9,14752,17.2,90.3,183
Warren,TN,35,14619,18.2,77.4,360
Washington,TN,34.7,17210,16.1,290.9,402
Wayne,TN,34.8,11888,21.1,20.8,9
Weakley,TN,33,14301,15.8,55,168
White,TN,36.7,13185,18.5,54.4,69
Williamson,TN,34.1,26526,6.8,151.9,216
Anderson,TX,31.4,12766,20.8,44.9,416
Andrews,TX,29.4,14508,16.4,9.7,471
Angelina,TX,32.3,15750,18.5,89.8,516
Aransas,TX,38.1,15301,22.4,75.8,771
Archer,TX,34.7,17466,11.1,8.5,78
Armstrong,TX,38.4,20205,10.1,2.1,79
Atascosa,TX,30.4,12758,25.3,25.6,216
Austin,TX,35.7,17000,14.6,31.9,239
Bandera,TX,40.3,17481,12.3,14,280
Bastrop,TX,33.4,14327,16.5,44.6,363
Baylor,TX,42.9,17516,19.7,4.9,84
Bee,TX,29.6,12925,28.2,27.8,355
Bell,TX,27.8,16026,15.8,180.2,592
Bexar,TX,30,17196,22.7,987.4,1019
Blanco,TX,38.8,16812,12.4,9.1,222
Bosque,TX,41,15115,17.2,15.6,151
Bowie,TX,34,16631,17.7,92.7,528
Brazoria,TX,31.1,17489,12.3,146.4,378
Brazos,TX,24,13840,19.9,213.6,621
Brewster,TX,32.4,13876,21.8,1.4,297
Brooks,TX,30.2,10632,38.2,8.7,201
Brown,TX,35,14232,19.4,36.2,541
Burleson,TX,35.4,14736,18.6,20.9,405
Burnet,TX,40,17141,16.9,23.3,274
Caldwell,TX,30.7,13065,22.7,49.3,397
Calhoun,TX,32.7,14370,17.8,39,550
Callahan,TX,36.7,14280,16.5,13.2,69
Cameron,TX,27.4,10618,38.5,307.9,705
Camp,TX,36.1,18077,21.3,51.1,459
Carson,TX,34.5,18943,8,7,208
Cass,TX,35.7,14514,20.5,32.1,207
Castro,TX,28.4,18797,26.3,9.8,249
Chambers,TX,32.7,16774,12.3,34.2,355
Cherokee,TX,35,15139,22.8,38.6,338
Childress,TX,39.5,16340,22.7,8.9,276
Clay,TX,37.3,15949,11.8,8.8,224
Cochran,TX,30.1,17038,28.6,5.4,462
Coke,TX,44,15120,15.9,3.8,168
Coleman,TX,41.6,14375,23.4,7.5,162
Collin,TX,30.9,24875,6.3,342.6,545
Collingsworth,TX,38.4,16293,24.4,3.8,249
Colorado,TX,37.4,16721,19.3,19.1,499
Comal,TX,36.7,19672,12.3,98.5,546
Comanche,TX,41.4,16220,20.7,14.3,102
Concho,TX,35.9,15145,22.6,3,177
Cooke,TX,34.2,15842,16.5,35.5,379
Coryell,TX,25.4,10858,13.9,61.2,312
Cottle,TX,41.2,17101,25.9,2.3,186
Crane,TX,29.8,13602,14.2,5.9,335
Crockett,TX,33.1,15609,21.2,1.5,161
Crosby,TX,32.6,14172,29.2,8,93
Dallas,TX,30.6,23576,18.3,2168.7,985
Dawson,TX,32.7,15682,28.1,15.6,423
Delta,TX,39.7,15897,21.4,17,247
Denton,TX,29,19511,8.4,331.7,593
Dickens,TX,42.3,15111,26,2.8,468
Dimmit,TX,27.8,9294,40.3,7.9,498
Donley,TX,42,17663,20.8,3.9,222
Eastland,TX,39,14511,21.6,19.4,365
Ector,TX,30.2,14651,21.9,135.2,991
Ellis,TX,31,17037,14.4,93.8,543
Erath,TX,30.7,16368,18.1,26.1,324
Falls,TX,35.1,13542,28,22.9,399
Fannin,TX,38.8,15852,18.7,27.5,317
Fayette,TX,39.3,18521,14.8,21.4,108
Fisher,TX,39.3,15734,18.5,5.1,117
Floyd,TX,32.5,17173,27.4,8.6,205
Foard,TX,40.9,18972,17.9,2.4,82
Franklin,TX,37.8,15736,16.2,28,151
Freestone,TX,36.6,15355,18.6,17.7,297
Frio,TX,28.5,10588,35,13.4,355
Gaines,TX,27.8,13458,23.1,9.5,288
Galveston,TX,32.6,18845,15.9,569.9,779
Garza,TX,32.9,14202,22.6,5.6,310
Gillespie,TX,42.1,17428,12.8,16.9,204
Goliad,TX,35.9,14255,19.5,7,110
Gonzales,TX,34,15722,26.7,16.1,322
Gray,TX,36.1,19526,14.2,25.3,634
Grayson,TX,35,17414,15.9,102.2,617
Gregg,TX,32.8,18868,17.5,393.7,789
Grimes,TX,32.5,13053,23,24.4,229
Guadalupe,TX,32.4,15648,16.7,93.8,406
Hale,TX,29.6,14386,23.4,35.1,535
Hall,TX,42.9,14564,27.7,4.3,87
Hamilton,TX,43.5,17670,18.4,9.1,213
Hansford,TX,32.9,28881,11.8,6.1,245
Hardeman,TX,38.9,16422,19.1,7.2,328
Hardin,TX,33.1,15724,14.2,48.5,278
Harris,TX,30.3,22285,19.4,1713.1,746
Harrison,TX,32.9,15152,20.5,63.6,515
Haskell,TX,40.4,16106,21.6,7.4,185
Hays,TX,26.6,15089,16,100.9,456
Hemphill,TX,33.7,21424,8.2,3.8,154
Henderson,TX,38.9,14530,18.7,68.5,407
Hidalgo,TX,26.1,9827,41.1,268.5,742
Hill,TX,37.9,14510,21.9,28.6,416
Hockley,TX,29.1,14475,18.9,27.1,313
Hood,TX,37,19413,11.9,73.5,317
Hopkins,TX,34.4,16596,17.3,37.1,423
Houston,TX,36,15626,25.2,17.4,293
Howard,TX,34,15700,20.7,35.6,455
Hunt,TX,33.7,16441,17.8,77.3,646
Hutchinson,TX,34.1,18576,13,28.5,305
Jack,TX,37.1,15138,17.5,7.4,203
Jackson,TX,35.7,16767,18.9,15.7,215
Jasper,TX,35,15476,20,33.5,233
Jefferson,TX,33.4,18927,19.6,269.1,955
Johnson,TX,32.1,15701,14.1,137.4,363
Jones,TX,36.5,14560,22.7,17,314
Karnes,TX,33.6,13263,28.6,16.3,65
Kaufman,TX,32.9,15953,16.2,69.1,479
Kendall,TX,36.8,21665,9.9,24,342
Kent,TX,40.4,14408,12.7,1.1,30
Kerr,TX,40.5,19261,16.3,34,382
Kimble,TX,41,15400,17.9,3.3,273
Kleberg,TX,27.7,13037,26,34.8,586
Knox,TX,37.7,15689,22.8,5.6,56
Lamar,TX,35.1,16419,19.9,48.3,749
Lamb,TX,34.1,15923,24.5,14.6,241
Lampasas,TX,35.4,14560,17.7,19.2,318
Lavaca,TX,39.3,16587,15,19.2,158
Lee,TX,33.6,15686,13.5,20.7,248
Leon,TX,37.6,15712,18.6,12.1,183
Liberty,TX,32.5,15362,18.9,47.2,359
Limestone,TX,36.2,15036,22.3,22.9,441
Llano,TX,55.4,17796,13.3,12.6,215
Lubbock,TX,28.8,17029,21,249.6,691
Lynn,TX,32.5,17146,27.1,7.5,143
McCulloch,TX,38.1,15567,26.1,7.9,364
McLennan,TX,31.1,16295,21.3,184.2,734
Madison,TX,29.9,14738,28.1,23.6,347
Marion,TX,39.8,13475,27.1,26.2,489
Martin,TX,30.7,13688,21.7,5.4,151
Mason,TX,42.4,16486,21.6,3.6,118
Matagorda,TX,31.4,15360,20.9,34,720
Maverick,TX,25.6,7666,44.8,31.8,687
Medina,TX,33.1,13759,20.7,21.5,394
Menard,TX,41.7,15103,27,2.5,161
Midland,TX,31,23009,15.5,123.3,584
Milam,TX,35.8,15344,21.7,22.6,343
Mills,TX,42.8,16374,19.6,6,13
Mitchell,TX,37.3,15206,23.1,8.5,317
Montague,TX,39.6,15880,17.5,18.6,290
Montgomery,TX,32.1,18743,12.8,194.4,451
Moore,TX,29.3,16964,12.5,20,282
Morris,TX,35.7,14719,20.6,50.7,284
Nacogdoches,TX,27.6,14783,21.8,58,449
Navarro,TX,34.2,15810,21.1,37.2,580
Newton,TX,33.5,11955,23.6,14.5,133
Nolan,TX,34.4,14886,21.7,17.8,540
Nueces,TX,30.5,17153,22.7,359,973
Ochiltree,TX,31.5,19312,13,9.6,282
Orange,TX,32.9,16027,15.6,232.3,540
Panola,TX,34.6,14225,18.2,27.7,257
Parker,TX,33.6,16859,12.5,75,310
Parmer,TX,30.4,21326,19.6,11.3,240
