County Name ,State,Median Age ,PerCapita Income,Percent in Poverty,Population Density,Crime Index (Per capita)
Tattnall,GA,33.1,13767,26.2,37.2,260
Telfair,GA,34,12995,26.3,26.3,172
Terrell,GA,33.1,13828,30.9,31.3,471
Thomas,GA,33.1,16732,23.5,72,446
Tift,GA,30.7,15714,23.6,133.9,665
Toombs,GA,32,14833,25,66.8,334
Towns,GA,43,13559,14.3,42,63
Treutlen,GA,33.2,12246,27,29.4,125
Troup,GA,32.5,16161,18.4,136.7,708
Turner,GA,31.5,15045,29.8,30.4,255
Twiggs,GA,30.8,11861,22.5,26.9,87
Union,GA,39.3,13326,15.7,40,129
Upson,GA,34.8,14078,17.1,80.8,388
Walker,GA,34.5,14335,14.3,132.6,367
Walton,GA,31.7,16137,14.8,123.3,294
Ware,GA,34.4,14166,22.6,39.7,546
Warren,GA,33.4,12854,27.1,21,65
Washington,GA,32,16265,23.4,28.5,353
Wayne,GA,32.6,14135,21.4,36.9,482
Wheeler,GA,34.2,13183,26.2,16.1,167
White,GA,36.8,17087,12.5,57.5,254
Whitfield,GA,32.2,18450,12.9,255.2,418
Wilcox,GA,34.7,14476,27.4,18.4,79
Wilkes,GA,35.4,15605,19.6,22.7,223
Worth,GA,31.5,13579,24.3,35.8,215
Adair,IA,39.3,16324,12.1,14.8,108
Adams,IA,40.1,15409,15.4,11.1,132
Appanoose,IA,37.9,14636,19,27.8,333
Audubon,IA,40.3,17612,11.4,16,128
Benton,IA,34.7,16637,9.5,31.8,158
Boone,IA,36.6,18902,9.2,44.3,220
Bremer,IA,35.2,17168,8.4,52.8,40
Buchanan,IA,33.4,16076,13.1,36.8,124
Butler,IA,37.9,16317,9.7,27.2,76
Calhoun,IA,39.8,18293,11.1,20.2,111
Carroll,IA,34.2,18298,9.7,37.8,102
Cass,IA,38.3,17391,11.9,26.6,180
Cedar,IA,36.1,17920,9.2,30.5,224
Cherokee,IA,37.2,17106,9.5,24.3,92
Chickasaw,IA,35.7,16895,9.4,26.4,99
Clarke,IA,36.7,14134,14.8,19.5,125
Clay,IA,35.1,17667,9.7,31.1,214
Clayton,IA,35.9,15639,11.8,24.1,51
Clinton,IA,35.1,17385,11.8,73.8,67
Crawford,IA,35.4,17233,13,23.4,168
Dallas,IA,34.6,19759,7.8,52.7,193
Davis,IA,36.1,14908,14.7,16.5,180
Decatur,IA,35.5,12906,21.1,15.2,184
Delaware,IA,32.7,15713,12,31.7,83
Dickinson,IA,39.7,19927,8.3,39.9,106
Dubuque,IA,33.1,18086,10.2,143.7,273
Emmet,IA,36.1,16375,12.4,29.3,239
Fayette,IA,36.4,15076,13.5,30.1,42
Floyd,IA,37.9,16975,12.7,33.8,227
Franklin,IA,38.1,17704,11,19.2,89
Greene,IA,39.4,18133,11,17.8,41
Grundy,IA,38.8,19418,7.4,24.1,59
Guthrie,IA,39.9,17219,11.6,19,127
Hamilton,IA,37.1,18879,9.4,27.9,181
Hancock,IA,35.4,16307,10,21.7,48
Hardin,IA,37.9,17613,11.6,33,256
Harrison,IA,36.5,16346,12.6,21.1,70
Henry,IA,34.7,16739,10.5,45.1,239
